lvl,var,odd,transform,composition,correct
3,3,comp_scale,scale_origin,nested,0.0
3,3,composition_type,line,layered,0.5
3,3,composition_type,line,nested,1.0
3,3,composition_type,line,none,0.0
3,3,composition_type,line,rotated,1.0
3,3,composition_type,radial,none,0.0
3,3,composition_type,radial,rotated,0.0
3,3,composition_type,scale_origin,none,0.0
3,3,composition_type,scale_outward,layered,0.0
3,3,composition_type,scale_outward,nested,1.0
3,3,composition_type,spiral,layered,0.0
3,3,composition_type,spiral,none,0.25
3,3,composition_type,spiral,rotated,0.5
3,3,edge_type,line,layered,1.0
3,3,edge_type,line,nested,0.0
3,3,edge_type,line,rotated,1.0
3,3,edge_type,radial,layered,1.0
3,3,edge_type,radial,none,1.0
3,3,edge_type,scale_origin,layered,1.0
3,3,edge_type,scale_origin,nested,0.6666666666666666
3,3,edge_type,scale_origin,none,1.0
3,3,edge_type,scale_origin,rotated,1.0
3,3,edge_type,scale_outward,layered,0.5
3,3,edge_type,scale_outward,nested,1.0
3,3,edge_type,spiral,layered,1.0
3,3,edge_type,spiral,nested,1.0
3,3,edge_type,spiral,none,1.0
3,3,n_copies,line,nested,0.0
3,3,n_copies,line,rotated,1.0
3,3,n_copies,radial,layered,0.0
3,3,n_copies,radial,nested,0.0
3,3,n_copies,scale_origin,layered,0.0
3,3,n_copies,scale_origin,nested,0.5
3,3,n_copies,scale_origin,none,0.5
3,3,n_copies,scale_origin,rotated,0.0
3,3,n_copies,scale_outward,layered,0.0
3,3,n_copies,scale_outward,nested,0.0
3,3,n_copies,spiral,layered,1.0
3,3,n_copies,spiral,nested,1.0
3,3,n_sides,line,layered,1.0
3,3,n_sides,line,none,1.0
3,3,n_sides,line,rotated,0.0
3,3,n_sides,radial,layered,0.0
3,3,n_sides,radial,nested,0.5
3,3,n_sides,radial,rotated,0.0
3,3,n_sides,scale_origin,nested,0.0
3,3,n_sides,scale_origin,none,1.0
3,3,n_sides,scale_origin,rotated,0.3333333333333333
3,3,n_sides,scale_outward,layered,1.0
3,3,n_sides,scale_outward,nested,1.0
3,3,n_sides,spiral,rotated,0.0
3,3,transform_type,line,nested,1.0
3,3,transform_type,line,rotated,1.0
3,3,transform_type,radial,nested,1.0
3,3,transform_type,radial,none,1.0
3,3,transform_type,scale_origin,layered,1.0
3,3,transform_type,scale_origin,nested,1.0
3,3,transform_type,scale_origin,rotated,1.0
3,3,transform_type,scale_outward,layered,1.0
3,3,transform_type,scale_outward,none,1.0
3,3,transform_type,scale_outward,rotated,1.0
3,3,transform_type,spiral,layered,1.0
3,3,transform_type,spiral,none,1.0
3,3,transform_type,spiral,rotated,1.0
3,4,comp_scale,line,nested,0.0
3,4,composition_type,line,nested,1.0
3,4,composition_type,radial,nested,1.0
3,4,composition_type,radial,none,0.0
3,4,composition_type,radial,rotated,0.5
3,4,composition_type,scale_origin,none,0.0
3,4,composition_type,scale_origin,rotated,0.0
3,4,composition_type,scale_outward,layered,0.0
3,4,composition_type,scale_outward,nested,0.0
3,4,composition_type,scale_outward,none,0.0
3,4,composition_type,spiral,nested,0.0
3,4,composition_type,spiral,none,1.0
3,4,edge_type,line,nested,1.0
3,4,edge_type,line,none,0.5
3,4,edge_type,line,rotated,1.0
3,4,edge_type,radial,layered,1.0
3,4,edge_type,radial,nested,1.0
3,4,edge_type,radial,none,1.0
3,4,edge_type,scale_origin,layered,0.0
3,4,edge_type,scale_origin,nested,1.0
3,4,edge_type,scale_origin,none,0.5
3,4,edge_type,scale_origin,rotated,1.0
